	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABHD5	937.328240775437	-0.0540325999846537	0.0790626055474338	-0.683415372040031	0.494344409258966	0.63106563967218
ABHD6	244.645937940153	0.237499612308936	0.108311167301114	2.19275277173099	0.0283251963453792	0.067408520148859
ABHD8	541.460044120596	-0.145680427590717	0.0894594461924894	-1.62845215112618	0.10342904721514	0.193862706398086
ABI1	1526.69918737569	0.054113162258694	0.0641213884050906	0.843917507163614	0.398715504404047	0.541623098913938
ABI2	3996.00403926793	-0.0871692836816087	0.0473009879467811	-1.84286391184226	0.0653488824986545	0.133929416907123
ABI3	2.38697825400655	0.0838510732771692	0.131992173437865	0.635273070313082	0.525250333953238	NA
ABI3BP	40.7900980372836	0.650240680700582	0.196013618220747	3.31732400331641	0.000908841545027944	0.00351382879006662
ABL1	2763.60417340323	-0.201432296529358	0.0503763920437047	-3.99854551621328	6.37329259986358e-05	0.000334966971102868
ABL2	1755.78005845498	0.684956538581659	0.0640895661196683	10.6874890883597	1.16481784560619e-26	1.88389104039378e-24
ABLIM1	2728.21122269014	-0.298270390666651	0.0502609984892904	-5.93443026664514	2.94867621770996e-09	4.03405578025898e-08
ABLIM2	41.7730594647397	0.278540956276232	0.192435937412939	1.44744770660235	0.147771572503213	0.256628602683391
ABLIM3	95.035130581639	0.535883365869308	0.156327300492461	3.42795765155012	0.000608140317364199	0.0024779177061971
ABO	1.71386511694866	-0.137884684560541	0.118260009091703	-1.16594515440651	0.243636620896754	NA
ABP1	1.36873584609606	0.01130187422533	0.10484774728621	0.107793200310527	0.914159736828023	NA
ABR	1927.54632753945	-0.289274334748127	0.058983975343492	-4.90428685187025	9.37673782641974e-07	7.57137975257372e-06
ABRA	0	NA	NA	NA	NA	NA
ABT1	1902.29429532896	-0.285049157551912	0.0629147716609346	-4.53071909865813	5.87832556315843e-06	4.00594276488081e-05
ABTB1	160.136680604325	0.220481088095672	0.127095708361085	1.7347642256281	0.0827825751099299	0.162082388160219
ABTB2	678.729042133574	0.00470062559156982	0.0795636981699611	0.0590800289540151	0.952888365438121	0.971979762711689
ACAA1	839.922278254878	-0.175558335829192	0.0805726262331283	-2.17888312739407	0.0293403515016012	0.0694433325157879
ACAA2	876.817342312212	-0.065732867842185	0.0694696777754785	-0.946209482281312	0.344041750679267	0.486489092568025
ACACA	3868.82104324149	-0.0292242852771773	0.0518538611775588	-0.563589376249285	0.573033618578975	0.699536967303457
ACACB	472.582071531995	-0.0934830913703987	0.0881006247932088	-1.06109453354983	0.288646941886918	0.42581484653868
ACAD10	491.334364050816	0.324425845069968	0.0858569065921759	3.7786808067871	0.000157661358710005	0.000746708696586817
ACAD11	97.0736212111945	0.281099149562338	0.156815335441529	1.79254885225909	0.0730450911148117	0.146621177026877
ACAD8	607.105760857961	-0.0696629180905592	0.0779518368592247	-0.893666152041618	0.371500540613321	0.513641947495627
ACAD9	1724.7237984278	-0.282882744192415	0.055058302112367	-5.13787627549952	2.77860715218053e-07	2.5173903400371e-06
ACADL	107.496209332551	-0.39233662133614	0.147787147731361	-2.65474114196525	0.00793692885266825	0.0230940029940035
